Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
Barking and Dagenham,Room,20,751,504,617,792
Barking and Dagenham,Studio,10,723,650,730,750
Barking and Dagenham,One Bedroom,170,981,900,1000,1050
Barking and Dagenham,Two Bedrooms,280,1207,1125,1200,1300
Barking and Dagenham,Three Bedrooms,170,1441,1350,1400,1550
Barking and Dagenham,Four or More Bedrooms,30,1655,1550,1675,1800
Barnet,Room,
Barnet,Studio,70,903,800,900,997
Barnet,One Bedroom,390,1165,1065,1150,1250
Barnet,Two Bedrooms,810,1410,1300,1400,1500
Barnet,Three Bedrooms,280,1796,1605,1799,1950
Barnet,Four or More Bedrooms,120,2594,2100,2413,3000
Bexley,Room,20,470,392,442,522
Bexley,Studio,30,688,650,700,725
Bexley,One Bedroom,190,854,775,850,925
Bexley,Two Bedrooms,330,1105,995,1100,1200
Bexley,Three Bedrooms,200,1281,1150,1300,1400
Bexley,Four or More Bedrooms,70,1724,1320,1550,1850
Brent,Room,70,623,550,600,700
Brent,Studio,100,926,825,910,1042
Brent,One Bedroom,190,1194,1100,1200,1300
Brent,Two Bedrooms,360,1449,1300,1447,1550
Brent,Three Bedrooms,250,1826,1700,1775,1907
Brent,Four or More Bedrooms,140,2210,1900,2100,2450
Bromley,Room,10,524,442,495,627
Bromley,Studio,40,783,745,800,850
Bromley,One Bedroom,480,1004,900,1000,1100
Bromley,Two Bedrooms,750,1256,1150,1250,1350
Bromley,Three Bedrooms,300,1592,1400,1550,1700
Bromley,Four or More Bedrooms,150,2274,1813,2000,2500
Camden,Room,20,1144,884,975,1450
Camden,Studio,120,1072,900,1000,1127
Camden,One Bedroom,300,1640,1278,1508,1895
Camden,Two Bedrooms,240,2254,1733,2150,2680
Camden,Three Bedrooms,90,2880,2150,2492,3337
Camden,Four or More Bedrooms,60,3982,2860,3400,4008
City of London,Room,0,
City of London,Studio,
City of London,One Bedroom,10,2071,1647,1998,2385
City of London,Two Bedrooms,
City of London,Three Bedrooms,
City of London,Four or More Bedrooms,0,
Croydon,Room,100,556,467,537,637
Croydon,Studio,90,757,700,755,800
Croydon,One Bedroom,570,963,875,950,1025
Croydon,Two Bedrooms,710,1214,1100,1200,1300
