Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile,,,,,,,
Barking and Dagenham,Room,20,751,504,617,792,,,,,,,
Barking and Dagenham,Studio,10,723,650,730,750,,,,,,,
Barking and Dagenham,One Bedroom,170,981,900,"1,000","1,050",,,,,,,
Barking and Dagenham,Two Bedrooms,280,"1,207","1,125","1,200","1,300",,,,,,,
Barking and Dagenham,Three Bedrooms,170,"1,441","1,350","1,400","1,550",,,,,,,
Barking and Dagenham,Four or More Bedrooms,30,"1,655","1,550","1,675","1,800",,,,,,,
Barnet,Room,-,..,..,..,..,,,,,,,
Barnet,Studio,70,903,800,900,997,,,,,,,
Barnet,One Bedroom,390,"1,165","1,065","1,150","1,250",,,,,,,
Barnet,Two Bedrooms,810,"1,410","1,300","1,400","1,500",,,,,,,
Barnet,Three Bedrooms,280,"1,796","1,605","1,799","1,950",,,,,,,
Barnet,Four or More Bedrooms,120,"2,594","2,100","2,413","3,000",,,,,,,
Bexley,Room,20,470,392,442,522,,,,,,,
Bexley,Studio,30,688,650,700,725,,,,,,,
Bexley,One Bedroom,190,854,775,850,925,,,,,,,
Bexley,Two Bedrooms,330,"1,105",995,"1,100","1,200",,,,,,,
Bexley,Three Bedrooms,200,"1,281","1,150","1,300","1,400",,,,,,,
Bexley,Four or More Bedrooms,70,"1,724","1,320","1,550","1,850",,,,,,,
Brent,Room,70,623,550,600,700,,,,,,,
Brent,Studio,100,926,825,910,"1,042",,,,,,,
Brent,One Bedroom,190,"1,194","1,100","1,200","1,300",,,,,,,
Brent,Two Bedrooms,360,"1,449","1,300","1,447","1,550",,,,,,,
Brent,Three Bedrooms,250,"1,826","1,700","1,775","1,907",,,,,,,
Brent,Four or More Bedrooms,140,"2,210","1,900","2,100","2,450",,,,,,,
Bromley,Room,10,524,442,495,627,,,,,,,
Bromley,Studio,40,783,745,800,850,,,,,,,
Bromley,One Bedroom,480,"1,004",900,"1,000","1,100",,,,,,,
Bromley,Two Bedrooms,750,"1,256","1,150","1,250","1,350",,,,,,,
Bromley,Three Bedrooms,300,"1,592","1,400","1,550","1,700",,,,,,,
Bromley,Four or More Bedrooms,150,"2,274","1,813","2,000","2,500",,,,,,,
